userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
user7PXAP: (itemLDh7R,0.0006104969652369618) (itemWngsI,0.0005282505881041288) (itemVZJC8,0.0004587386501953006) (itemKe2Er,0.00040270842146128416) (iteme1aEV,0.00036529687349684536) (itemPzRe5,0.0002741781354416162) (itemvjUdv,0.00026935897767543793) (itemwinns,0.00021738107898272574) (item6TcLl,0.00019649896421469748)* (itemsF3jV,0.00017812549776863307) (item0rrNz,0.00016997924831230193) (itemTAGOA,0.0001650314370635897) (itemVARpF,0.00016324588796123862) (itemx52zm,0.00015398529649246484)* (itemwrPNe,0.00015181303024291992) (item4p3W3,0.00014177516277413815) (itemdqVVX,0.00012627564137801528) (itemllUul,0.00011374056339263916) (itemJyBn3,0.00011074786743847653)* (itemVHyMp,0.00010827100049937144)
user3niUH: (item6TcLl,0.0004480154602788389) (iteme1aEV,0.0003088556695729494) (item9M3lc,0.00026377380709163845) (item1PK0V,0.00022197386715561152) (itemexwfY,0.00020451433374546468) (itemjeN5W,0.00016865579527802765) (itemXxPjl,0.00016772483650129288) (itemBuZOt,0.00014548838953487575) (itembuWyf,0.00014476347132585943) (item23scr,0.00013855926226824522)* (itemRKTJC,0.00011441088281571865) (itemY6045,0.00011231198004679754) (itemcWumf,0.00011048528540413827) (itemcvY2p,0.00010503367229830474) (item80q9y,8.926865120884031e-05) (item4p3W3,8.64038520376198e-05) (itemKe2Er,8.401022932957858e-05) (itemLPkI9,8.163450547726825e-05)* (itemVARpF,8.091139898169786e-05) (itemTuHK9,8.077120583038777e-05)
userQrGSE: (itemUiRdE,0.00032860561623238027) (itemKHT0l,0.0002535988751333207) (item03CQ6,0.0002364408428547904) (item178I3,0.00021437715622596443) (itemvQ7sQ,0.0002048215246759355) (itemyWo9i,0.0001498483179602772) (itemqD4yX,0.00014074414502829313)* (item4p3W3,0.00013647445302922279) (itembHmsT,0.00013394924462772906) (itemN8AZu,0.00012805454025510699)* (itemY6045,0.00012522580800577998)* (itemeROTS,0.0001242517028003931) (itemg6NgV,0.00011903205449925736) (itemqth87,0.00011752016143873334) (itemr7q87,0.00011310778791084886) (item618n3,0.00011221214663237333) (itemVZJC8,0.00010139556252397597) (itemyo43o,9.0037050540559e-05)* (itemFjQ4M,8.779340714681894e-05) (itemdC6Wf,8.224468911066651e-05)*
userhn3H7: (itempGfZ6,0.0006124539067968726) (itemJaOdU,0.00048600503941997886) (itemSEVUh,0.00047090850421227515) (itemFoRzs,0.0004629813483916223) (itemVHyMp,0.0004409573448356241) (itemexwfY,0.0004004912334494293) (itemvjUdv,0.00039122681482695043) (itemwAkpa,0.00035810243571177125) (item7gr06,0.000338388083036989) (itemwrPNe,0.00033707829425111413) (itemguPDr,0.00033036095555871725) (itemf6vR5,0.0003101260808762163) (itembuWyf,0.00030621723271906376)* (itemuNHoh,0.00028069259133189917) (itemY6045,0.0002671866677701473) (item1PK0V,0.00026402727235108614) (itemPn5yf,0.0002623175969347358) (itemgRlgs,0.00024724696413613856) (itemnvCLA,0.00023937119112815708) (itemKe2Er,0.00022657588124275208)
user9xbHl: (itemllUul,0.00031964227673597634) (itemdkR3x,0.0002972836373373866)* (item162CY,0.0002939026744570583) (itemdC6Wf,0.00017800868954509497) (itemup8oB,0.00015885126776993275)* (itemy6Af3,0.00015362640260718763)* (itemvHkzH,0.00012450464419089258) (itemoSaYE,0.00012191902351332828)* (item9lgJn,0.00011364182864781469) (itemKHT0l,8.982846338767558e-05) (itemPn5yf,8.326712850248441e-05) (itemVARpF,7.86068121669814e-05) (itemxbm5F,7.537203782703727e-05) (itemTuHK9,6.28480629529804e-05)* (itemtXKxm,6.183451478136703e-05) (itemDF5f3,5.958119800197892e-05) (itemABTMM,5.663352203555405e-05) (item84cQ6,4.7675428504589945e-05) (itemDfuZl,4.0111583075486124e-05) (itemfL8PL,3.859534626826644e-05)
uservIgrQ: (item9muy9,0.00038019486237317324) (itemrT9kO,0.00030115683330222964) (itemg6NgV,0.00029760459437966347) (itempLAQY,0.0002785493270494044) (itemwrPNe,0.00024647003738209605) (itemVda4U,0.0002121306606568396) (item1PK0V,0.00020863702229689807) (itemsB45O,0.00018562888726592064)* (itemjIyZN,0.00017501579714007676)* (itemr7q87,0.0001582962868269533) (itemSnsYW,0.00014936819206923246) (itemJaOdU,0.00013931962894275784) (itemdoXAn,0.0001007727551041171) (item0VuxA,9.891360969049856e-05) (itemxwCH9,8.98430953384377e-05)* (itemcAUzH,8.691025141160935e-05) (itemUo6cI,8.270487887784839e-05) (itemO64Fe,8.104610606096685e-05) (itemMzrpc,8.07537289801985e-05) (itemup8oB,7.649228791706264e-05)
useraAGtk: (itemexwfY,0.000474631495308131) (itemEzeNr,0.0003210871072951704) (itemJyBn3,0.00030344046535901725) (itemZCI04,0.000274808204267174)* (itemhOGIE,0.0002670564572326839)* (itemsF3jV,0.0002553229860495776) (itemzexIV,0.0002542049332987517)* (itemqth87,0.00025312037905678153) (itemqF1uc,0.0002486061421222985) (itemAzjPR,0.0002465542347636074) (itemf6vR5,0.0002421785466140136) (itemWngsI,0.00024199092877097428) (itemVZJC8,0.00023546100419480354) (itemmbGoj,0.00023043247347231954) (itemVHyMp,0.00022890689433552325) (itemUOpVk,0.00022757997794542462) (itemuNHoh,0.0002171042433474213) (itemVda4U,0.00021700013894587755) (itemguPDr,0.00020903436234220862) (itemTAGOA,0.00017877703066915274)
uservVAs9: (item9muy9,0.00043247645953670144) (itemd7GN3,0.0003672607708722353) (itemRKTJC,0.00034449645318090916) (item9M3lc,0.00028936145827174187) (itemPn5yf,0.00027962212334387004) (itemxwCH9,0.0001962412934517488) (itemEzeNr,0.0001786467182682827) (itemjeN5W,0.0001737055863486603) (itemf6vR5,0.00016628822777420282) (itemqppyW,0.00015234592137858272)* (itemcAUzH,0.00013709443737752736) (itemzfaal,0.0001363196352031082) (itemKe2Er,0.00013416557339951396) (itemoSaYE,0.0001124081973102875) (item9DjWX,0.0001101905363611877) (itemZIbqG,0.00010919319174718112)* (itemwBj8x,8.355588943231851e-05) (itemySRfm,7.557849312433973e-05) (itemAzjPR,6.198875780683011e-05) (item4YMYG,6.013990787323564e-05)
userTbHVD: (itemmMX2p,0.0005216940771788359) (itemvQ7sQ,0.0004618635284714401) (item1PK0V,0.00035006291000172496) (items32yz,0.0003267279826104641) (itemVARpF,0.0003250552690587938) (item80q9y,0.000306574918795377) (itemjmSae,0.0002955661329906434) (itemwAkpa,0.0002781338116619736)* (itemXxPjl,0.0002528431359678507) (itemYp8lv,0.000247331743594259) (itemVda4U,0.0002128278138116002) (itemv7Clw,0.00020455929916352034) (itemjIyZN,0.00020046342979185283) (itemcAUzH,0.00018705341790337116) (item52xJ8,0.00018633311265148222) (itemwBj8x,0.00017818904598243535) (itemUFxkv,0.00016613236221019179) (itemBmrIx,0.000154151173774153) (itemO64Fe,0.00014593501691706479) (item4YMYG,0.0001437163446098566)*
useryKPmt: (itemgoCpP,0.0005093870568089187) (itemFoRzs,0.0005014929338358343) (itemy6Af3,0.0004454277514014393)* (itemDYrOS,0.00029712339164689183) (itembuWyf,0.00029489691951312125) (itemjmSae,0.0002906146983150393) (item162CY,0.00028371450025588274)* (item7gr06,0.0002695281873457134)* (itemYgdNj,0.0002510773192625493) (itemiCowm,0.00021816851221956313) (itemRKTJC,0.0002056441589957103)* (itemTAGOA,0.00020216780831106007) (itemBmrIx,0.00020018298528157175) (itemIrWce,0.00017375466995872557) (itempLAQY,0.00017004454275593162) (itemRNQTR,0.0001658291439525783) (itemUFxkv,0.00016561581287533045) (itemcAUzH,0.0001593325287103653)* (itemxvrbY,0.00015800056280568242) (itemLDh7R,0.00015358204836957157)*
userOPEPI: (itemuaFxY,0.0003977064916398376) (itemySRfm,0.00035955096245743334) (item96Uu6,0.00035191309871152043) (itemVHyMp,0.00031491395202465355) (itemxwCH9,0.00023635178513359278) (itemvQ7sQ,0.00022192765027284622) (itemDAINx,0.00021863191796001047) (itemAj7Pj,0.00021013044170103967)* (itemAzjPR,0.000200047783437185) (itemkHjKP,0.00019576141494326293) (itemfL8PL,0.00018464353343006223) (itembHmsT,0.00017547850438859314) (itemh9nHh,0.00016867945669218898) (itemcWumf,0.00014511137851513922) (itemiXwHJ,0.00013913096336182207) (item23scr,0.00013228814350441098)* (item9M3lc,0.0001319235743721947) (itemlAKEf,0.0001313671818934381) (item84cQ6,0.00011902920959983021) (itemyo43o,0.00010958221537293866)
userjFzvH: (item1PK0V,0.00043822461157105863) (itemPn5yf,0.0003609354607760906)* (item7gr06,0.00032090520835481584) (itemmt9Zs,0.0003064086486119777)* (itemhOGIE,0.00028272124473005533)* (itemQStwf,0.0002692944835871458) (itemZCI04,0.0002665758947841823) (itembuWyf,0.0002639632439240813) (item4YMYG,0.00024234045122284442)* (itemRNQTR,0.00024076702538877726) (itemJyBn3,0.0002076353703159839) (itemqppyW,0.0001932164595928043) (itemAlGQe,0.0001367195654893294) (itemy6Af3,0.0001360799215035513) (itemFjQ4M,0.0001350847742287442)* (itemUo6cI,0.00011040265235351399) (itemgEevH,0.00010493918671272695)* (itemwBj8x,9.997316374210641e-05)* (itemRMr3n,8.27392068458721e-05) (itemjeN5W,5.481500556925312e-05)
user3dYr4: (itemABTMM,0.00043312774505466223) (itemqppyW,0.00031602790113538504) (itemllUul,0.0002944992738775909) (itemRKTJC,0.00029080171952955425) (itemuz9u2,0.0002400214725639671) (itemLDh7R,0.00023801351198926568) (itemg6NgV,0.00019618874648585916) (itemXxPjl,0.00017351223505102098) (item23scr,0.00017126789316534996) (itemiCowm,0.00016211054753512144) (itemPn5yf,0.00013742936425842345) (itemIBbVf,0.0001221383281517774) (item0amMQ,0.00011972581705776975) (itemqD4yX,9.803958528209478e-05)* (itemlHCkK,9.140724432654679e-05) (item618n3,8.690383401699364e-05) (itemf6vR5,7.832019036868587e-05) (item4YMYG,7.136911153793335e-05) (item64Mnl,6.526787183247507e-05) (itemup8oB,6.347618182189763e-05)
userEsCm8: (itembHmsT,0.00047794822603464127)* (itemakzor,0.00046780717093497515) (itemEZob3,0.00030832315678708255) (itemySRfm,0.00029690496739931405) (item0QA86,0.00028675945941358805) (itemmt9Zs,0.00026519427774474025)* (itemyWo9i,0.00026362264179624617) (itemDYrOS,0.00021330578601919115) (itemvHkzH,0.0001980136294150725) (itemRNQTR,0.0001872066641226411)* (item6TcLl,0.00018417018873151392) (itemPzRe5,0.0001797501608962193) (itemLDh7R,0.00017938052769750357) (itemqppyW,0.00016927745309658349) (itemLPkI9,0.0001680146378930658) (item52xJ8,0.00015667208936065435) (itemvpxYm,0.00015278963837772608) (itemRKTJC,0.00014421413652598858)* (itemDAINx,0.0001334157568635419)* (itemqD4yX,0.00012402185529936105)
userBpH3N: (itemmMX2p,0.00047622370766475797) (itemmt9Zs,0.000330454291542992) (itemJaOdU,0.0002541399735491723) (itemjeN5W,0.00023890066950116307) (itemSEVUh,0.0002295372833032161) (item162CY,0.00020433111058082432) (itemoSaYE,0.0002002410328714177) (itemGgwft,0.0001655451487749815) (itembHmsT,0.00016539866919629276) (item6hTeJ,0.00014703182387165725) (item9lgJn,0.00013498646148946136)* (itemgoCpP,0.00013323567691259086) (itemsB45O,0.00013207629672251642) (itemqth87,0.0001180079416371882) (item0VuxA,0.00011063915735576302) (itemRKTJC,0.00010902647045440972)* (itemgEevH,0.00010586585995042697) (itemBmrIx,9.553993004374206e-05) (itemTuHK9,8.541412535123527e-05) (itemup8oB,7.151239697122946e-05)
userxGXFq: (itemXLYXV,0.00034665234852582216) (itemHrihE,0.00033418688690289855) (itemgoCpP,0.00032223042217083275) (itemdC6Wf,0.0002805094700306654) (itemN8AZu,0.00023994673392735422) (itemRKTJC,0.00021100127196405083) (itemBuZOt,0.00020710421085823327) (itemfL8PL,0.00019323459127917886) (itembuWyf,0.0001606583537068218) (itemYgdNj,0.00014349549019243568) (itemllUul,0.0001413113350281492) (item9M3lc,0.0001352348772343248) (itemjeN5W,0.00012306049757171422) (itemxCvQp,0.0001224403386004269)* (itemuz9u2,0.00012137436715420336) (itemZCI04,9.845868044067174e-05) (itemCVpf3,9.806511661736295e-05) (itemWngsI,8.757832983974367e-05) (itemJaOdU,8.453262853436172e-05) (itemyo43o,8.114297088468447e-05)
userVvdgt: (itemBmrIx,0.0005887171719223261)* (itemcWumf,0.0004483529191929847) (itemDYrOS,0.00040540401823818684) (itemehZbz,0.00031003140611574054) (itemySRfm,0.0002831945021171123)* (itemSEVUh,0.0002789574209600687) (itemVda4U,0.00025662127882242203) (itemSW5s8,0.0002518651890568435) (itemcAUzH,0.00024223196669481695) (itemxbm5F,0.00023929381859488785) (itemYOYte,0.00022225340944714844) (iteme5OvS,0.00021334021585062146) (itemxvrbY,0.00021265122632030398) (itemh9nHh,0.0002088686014758423) (itemd7GN3,0.00020034940098412335)* (itemRKTJC,0.0001970925513887778) (itemCmV8W,0.00019533866725396365) (itemKHT0l,0.00018691958393901587) (itemvjUdv,0.00018390284094493836) (item4p3W3,0.0001820580509956926)
userfz4zC: (itemAj7Pj,0.00037415334372781217) (item9muy9,0.0003636811161413789) (itemfL8PL,0.000355817872332409)* (itembuWyf,0.0003069175290875137) (item4p3W3,0.000245163741055876)* (itemKe2Er,0.00024458972620777786) (itemguPDr,0.00023810486891306937) (itemVda4U,0.00021927090710960329) (itemhOGIE,0.00021373432537075132) (item618n3,0.00021290621953085065)* (item52xJ8,0.0002096067473758012) (itemEZob3,0.00020493267220444977)* (itemJyBn3,0.00020396201580297202) (item1PK0V,0.00020122903515584767)* (itemSrPKx,0.00017631251830607653)* (item96Uu6,0.00016962230438366532) (item6TcLl,0.0001681513385847211) (itemyo43o,0.00016288660117425025) (itemY6045,0.00015514512779191136) (itemlHCkK,0.00013862980995327234)
userNL6ye: (itemaPbf4,0.00032087089493870735) (itemFEgKI,0.0003193661104887724) (itemgEevH,0.00029943560366518795)* (itemlepVl,0.00021870429918635637)* (itemwBj8x,0.00020381173817440867) (itemiCowm,0.00017709739040583372) (itemuNHoh,0.0001708206837065518) (itemx52zm,0.00016980813234113157) (itemBkBCG,0.00016233818314503878) (itemUOpVk,0.0001505665568402037) (itemN8AZu,0.0001439206680515781) (itemdjMTE,0.00012041853915434331) (itemd7GN3,0.00012019192217849195) (itemXLYXV,0.00011961095879087225) (itemvjUdv,0.00010898566688410938)* (itemexwfY,0.00010254843800794333) (itemGgwft,0.000100141522125341) (itemBuZOt,9.660227806307375e-05) (itemgRlgs,8.626787894172594e-05) (itemDAINx,7.974789332365617e-05)
userXIciZ: (item64Mnl,0.00035980873508378863) (itemRKTJC,0.0003525966894812882) (itemRy5SF,0.00027549717924557626) (itemXLYXV,0.0002647736109793186)* (itemgRlgs,0.0002378346398472786)* (itemvpxYm,0.00021871711942367256) (itemgoCpP,0.00021474732784554362) (itemPn5yf,0.00021228331024758518) (itemRMr3n,0.00019377534044906497) (itemFsCNW,0.00018212151189800352) (itemyWo9i,0.00017368304543197155)* (itemXxPjl,0.0001709026691969484) (itemsaQmG,0.00016833229165058583) (itemEwdGW,0.00016699233674444258) (item4YMYG,0.0001447441172786057) (itemUiRdE,0.0001432365970686078) (item4FB6e,9.583259816281497e-05) (itemVHyMp,9.350239270133898e-05) (itemqppyW,9.313588816439733e-05) (itemTAGOA,8.237232395913452e-05)
userTHymG: (itemLDh7R,0.0005463124252855778) (itemrDLmp,0.00047856010496616364) (itembuWyf,0.0003778295067604631) (item7XnWI,0.0003683942777570337) (itemsF3jV,0.00030961818993091583) (itemuaFxY,0.00030420703114941716) (itemDAINx,0.0002549880009610206) (itemgEevH,0.0002150610671378672) (itemY6045,0.00019974315364379436) (itemv7Clw,0.00019928808615077287) (itemKHT0l,0.00019717394025065005)* (itemmt9Zs,0.00019186270947102457) (itemySRfm,0.0001808742235880345) (itemSeyqb,0.00017508807650301605) (itemqth87,0.00015859237464610487) (itemmbGoj,0.000156786001753062) (item4p3W3,0.00015633838484063745) (itemvjUdv,0.0001530456793261692) (itemjeN5W,0.00014906955766491592) (itemEwdGW,0.00014721043407917023)
userKWMYJ: (itemgRlgs,0.00025858276057988405) (itemPzRe5,0.0002454016066621989)* (itemRNQTR,0.00022138755593914539) (itembHmsT,0.00020357430912554264) (itemAzjPR,0.00019980152137577534) (itemxCvQp,0.00016977134509943426) (itemlAKEf,0.00015149041428230703) (itemsB45O,0.00014856725465506315) (itemMNxUT,0.00014329551777336746) (itemRMr3n,0.0001198489117086865) (itemDfuZl,0.00011178857675986364) (itemUiRdE,0.00010110727453138679) (itemXLYXV,8.475450886180624e-05) (itemzfaal,8.342462388100103e-05) (itemnO4tX,6.503299664473161e-05) (itemva2ph,5.692606282536872e-05) (item96Uu6,5.437364598037675e-05) (itemAlGQe,5.164817412151024e-05) (iteme1aEV,4.6614652092102915e-05) (itemup8oB,4.159105446888134e-05)
userpKjBY: (itemVHyMp,0.0004160189419053495) (itemGAqYy,0.0003034207911696285) (itemlN5jA,0.0002845877897925675) (itemMNxUT,0.00026508825249038637) (itemABTMM,0.0002510578487999737)* (item64Mnl,0.0002436265058349818)* (itemtXKxm,0.00023536710068583488) (itemUFxkv,0.00022758728300686926) (itemxvrbY,0.00022005633218213916) (itemLPkI9,0.0002102385915350169) (item0MxmA,0.00019234151113778353) (itemEzeNr,0.00019206214346922934) (itemV1Vwk,0.00017918978119269013) (itemr7q87,0.00017200417642015964) (itemx52zm,0.00014121260028332472) (itemAj7Pj,0.00013616761134471744)* (item162CY,0.00010023613140219823)* (itemwBj8x,9.906892228173092e-05) (itemIrWce,9.359394607599825e-05) (iteme1aEV,8.420975063927472e-05)
userRqCeX: (itemLDh7R,0.0004695814859587699)* (itemf6vR5,0.0004652661446016282) (itemqppyW,0.00032207497861236334) (itemUo6cI,0.0003093341365456581) (itemUFxkv,0.00029581799753941596) (itemKHT0l,0.00023497603251598775) (item0VuxA,0.00022892604465596378) (itemFjQ4M,0.00022747431648895144) (itemnvCLA,0.00022330759384203702) (itemOCA2H,0.00021809290046803653) (itemQJNS2,0.00020659193978644907) (itemrDLmp,0.00020520409452728927) (itemx52zm,0.00019666895968839526)* (itemUiRdE,0.00019612361211329699) (item9M3lc,0.00018906613695435226) (itemdqVVX,0.00017852929886430502) (itemYgdNj,0.00017617788398638368) (itemLPkI9,0.00017600323189981282) (item7gr06,0.00017509039025753736) (itemiCowm,0.00017094044596888125)
useraUavY: (itemJyBn3,0.00042376050259917974)* (itemFEgKI,0.00041745754424482584) (itembuWyf,0.00041051273001357913) (itemwinns,0.00037693307967856526) (item7gr06,0.00035474731703288853) (itemVZJC8,0.00032528184237889946) (itemf6vR5,0.0003199650382157415) (itemEzeNr,0.0002915385412052274) (itemiCowm,0.00027425374719314277) (itemXxPjl,0.0002354170283069834) (itemAlGQe,0.00023062752734404057) (itemmbGoj,0.00021264777751639485)* (itempLAQY,0.0002058496029349044) (itemLPkI9,0.00020203717576805502) (itemvQ7sQ,0.00018849712796509266) (itemuNHoh,0.00018500559963285923)* (itemcAUzH,0.00013825364294461906) (item9muy9,0.00012216615141369402) (itemSEVUh,0.00011211464880034328) (itemup8oB,0.00010827768710441887)
uservzAWa: (itemXLYXV,0.0003993934078607708) (itemdoXAn,0.0003307356673758477) (itemSeyqb,0.00030357492505572736) (itemEZob3,0.00027535055414773524) (itemyWo9i,0.0002510805206838995) (itemABTMM,0.00024796766228973866) (itemDF5f3,0.00023525889264419675) (itemVda4U,0.0002209694794146344) (itemEwdGW,0.00021847651805728674) (itemFjQ4M,0.00020935390784870833) (itempGfZ6,0.00020409304124768823) (item80q9y,0.00019757957488764077) (itemHrihE,0.00018311334133613855) (itemYp8lv,0.00017958511307369918) (itemvn3OC,0.0001735854020807892)* (item7XnWI,0.0001387096126563847)* (itemSEVUh,0.000137814087793231) (item23scr,0.00011815741891041398) (itemgoCpP,0.00011808214185293764)* (itemUiRdE,0.00011450502643128857)
useruR6i7: (itemJyBn3,0.0002831759920809418) (itemH8gzP,0.00028016811120323837) (itemySRfm,0.0002800785005092621) (item178I3,0.00025709904730319977) (itemguPDr,0.00025224691489711404) (item162CY,0.00021127845684532076) (itemPOi9Y,0.0001993390469579026) (itemSnsYW,0.0001924897514982149)* (itemMzrpc,0.0001910285500343889) (itemdoXAn,0.00014889152953401208) (itemWeaex,0.0001355364511255175)* (itemYOYte,0.00013022393977735192) (itemJaOdU,0.0001216476084664464) (item6TcLl,0.00011155153333675116) (itemjeN5W,0.0001071154692908749) (itemRKTJC,0.00010356426355428994) (itemVARpF,9.901273006107658e-05) (itemBkBCG,9.68261738307774e-05) (itemnO4tX,9.329231397714466e-05)* (itemqF1uc,8.167332271113992e-05)*
userAzNXt: (itemdC6Wf,0.00041273856186307967)* (itemXLYXV,0.0003590391424950212) (itemcAUzH,0.0003364181029610336) (itemZCI04,0.00032584957079961896) (itemAj7Pj,0.00030584726482629776) (itemqppyW,0.00028730271151289344) (itemSrPKx,0.0002833949984051287) (itemCVpf3,0.00026769572286866605) (itemMpeEL,0.00024615874281153083)* (item162CY,0.00024367088917642832) (itemdqVVX,0.00022444824571721256) (item96Uu6,0.00020211649825796485) (itemUOpVk,0.00018984453345183283) (item4YMYG,0.00018580742471385747) (itemwrPNe,0.00017184490570798516) (itemEB2ZL,0.00016876956215128303) (itemBmrIx,0.00016130524454638362)* (itemFjQ4M,0.0001569300948176533) (itemnvCLA,0.0001459277409594506) (itemPOi9Y,0.00014472617476712912)
usermobRV: (itemh9nHh,0.00029686526977457106) (items32yz,0.0002866977301891893) (itemDfuZl,0.00027601324836723506) (itemdC6Wf,0.0002740567142609507) (item7XnWI,0.00025618867948651314) (itempGfZ6,0.00023113831412047148) (itempLAQY,0.00020004078396596014) (itemw0Hbk,0.00018981797620654106) (itemvHkzH,0.00018230665591545403) (itemuaFxY,0.00018229095439892262) (itemnO4tX,0.0001762451429385692) (itemXxPjl,0.00015178232570178807) (itemuNHoh,0.00014773296425119042) (itemABTMM,0.00012800180411431938)* (itemxwCH9,0.00012768973829224706)* (itemIrWce,0.00011134234955534339) (itembHmsT,0.00010056183964479715) (itemy6Af3,8.536601671949029e-05) (itemRy5SF,8.446024730801582e-05)* (itemWUHgc,6.8072768044658e-05)
userk6Mri: (itemBmrIx,0.00044257339322939515) (itemmMX2p,0.000303711392916739) (items32yz,0.0002929639013018459) (item6hTeJ,0.00026483190595172346) (itemjeN5W,0.00021876455866731703) (itemMNxUT,0.00021020800340920687) (itemaTHnd,0.00019833480473607779)* (itemjIyZN,0.00016553308523725718) (iteme1aEV,0.00013972111628390849) (itemFzVAJ,0.00012767271255142987) (itemcvY2p,0.00011917405936401337) (item1PK0V,0.00011228267976548523) (itemPn5yf,8.311243436764926e-05) (iteme5OvS,7.429352262988687e-05) (itemMpeEL,7.421788177452981e-05) (itemWeaex,7.072245352901518e-05) (itemIrWce,6.159668555483222e-05) (item0QA86,6.050014781067148e-05) (itemDYrOS,5.2953015256207436e-05) (itemy6Af3,4.3199353967793286e-05)
userxrwAf: (itembHmsT,0.00045020069228485227) (itemRy5SF,0.0003116559237241745) (itemFoRzs,0.0002801375521812588) (item03CQ6,0.00025351918884553015) (itemPzRe5,0.0002470602630637586) (itemlAKEf,0.00019175640773028135) (itemrT9kO,0.00019138537754770368) (item80q9y,0.00016460486222058535) (item6TcLl,0.00015966354112606496) (itempGfZ6,0.00014123391883913428) (itemh9nHh,0.00013155461056157947) (itemkHjKP,0.00012720207450911403) (iteme5OvS,0.00012577747111208737)* (itemx52zm,0.0001247487816726789) (itemjmSae,0.00011480539251351729) (item7XnWI,0.0001061749571817927) (itema506d,9.669129940448329e-05) (itemBmrIx,8.053756027948111e-05) (itemwBj8x,7.749207725282758e-05) (itemSeyqb,6.498844595625997e-05)
