userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
user7PXAP: (itemvjUdv,0.00034011490060947835) (item9lgJn,0.00021770781313534826) (itemKe2Er,0.00021563415066339076) (itemO64Fe,0.0002056053199339658) (itemLDh7R,0.0001904934033518657) (item9M3lc,0.00017729536921251565) (itemvpxYm,0.00017605228640604764) (itemBmrIx,0.00017488955927547067) (item2FMEC,0.0001597611408215016)* (itemDYrOS,0.00014763110084459186) (itemdjMTE,0.00013051196583546698) (item0rrNz,0.00013023846258874983) (itemVARpF,0.00011825755791505799) (item4YMYG,0.00011578240810194984) (item84cQ6,0.0001127507202909328) (itemaPbf4,0.00011081963020842522) (itemVZJC8,9.710343147162348e-05) (itemmbGoj,9.410934580955654e-05) (itemxCvQp,9.09309892449528e-05) (itemwAkpa,8.15883104223758e-05)
user3niUH: (itemBkBCG,0.0006868137279525399) (itemmt9Zs,0.00041707465425133705) (item6hTeJ,0.00038988905726000667) (itemWeaex,0.0003668690624181181) (item9DjWX,0.0003359358524903655)* (itemKe2Er,0.00033503741724416614) (itemRMr3n,0.0003268035943619907) (item1PK0V,0.00030014896765351295) (itemCmV8W,0.0002809390425682068) (iteme1aEV,0.00026117905508726835) (itemvn3OC,0.00026047954452224076) (itemvQ7sQ,0.00024382158881053329)* (itemd7GN3,0.00021182815544307232) (itemV1Vwk,0.0001885507081169635) (itemr1zoc,0.0001818241726141423)* (itempLAQY,0.00017614966782275587)* (itemwinns,0.0001728752686176449)* (itemVARpF,0.00016651142504997551) (itemrT9kO,0.0001664365699980408)* (itemPOi9Y,0.0001616269873920828)
userQrGSE: (itemaTHnd,0.00040801026625558734) (iteme5OvS,0.00034476182190701365) (itemjeN5W,0.0003180649073328823)* (itemEwdGW,0.00031596177723258734)* (iteme1aEV,0.00030780304223299026) (item9M3lc,0.0002682978520169854)* (itemBmrIx,0.0002571099903434515) (item64Mnl,0.00024507532361894846) (itemFsCNW,0.00021666963584721088) (item4p3W3,0.0001893181324703619) (itemSW5s8,0.00018929809448309243) (itemd7GN3,0.0001769846712704748) (itemoSaYE,0.00016481535567436367)* (itemva2ph,0.00015665781393181533) (itemg6NgV,0.00014123051369097084) (itemGgwft,0.00013473452418111265) (itemr7q87,0.0001337518624495715) (itemvn3OC,0.0001326919737039134) (itemUo6cI,0.00010041046334663406) (itemy6Af3,9.794557263376191e-05)
userhn3H7: (itemWeaex,0.0005796015611849725)* (itempLAQY,0.0005689121317118406) (itemuNHoh,0.0005585161270573735) (itemVHyMp,0.0004211927007418126) (itemXLYXV,0.0004055321332998574) (itemDF5f3,0.0003650349099189043) (itemDfuZl,0.00035802865750156343) (itemcVs96,0.0003397077671252191) (itembuWyf,0.00033471774077042937)* (itemy6Af3,0.00032176284003071487) (itemCmV8W,0.0003104431671090424) (itemSeyqb,0.00030247337417677045) (items32yz,0.0002859565138351172) (itemup8oB,0.0002804356045089662) (itema506d,0.00025564603856764734) (itemBkBCG,0.000246750918449834) (itemdqVVX,0.00024219037732109427) (itemehZbz,0.0002393408358329907) (item84cQ6,0.00023044398403726518) (item9M3lc,0.00022712921781931072)*
user9xbHl: (item9lgJn,0.0005145237664692104) (itemvHkzH,0.00037557276664301753) (itemd7GN3,0.000370049849152565) (itemFzVAJ,0.0003465037443675101) (itemRNQTR,0.00034136971225962043) (itemY6045,0.0003257555072195828) (item6TcLl,0.0003179773048032075) (itemGgwft,0.00031776033574715257) (itemSW5s8,0.00031592638697475195)* (itemDfuZl,0.0003041669842787087) (itemsB45O,0.0002946544555015862) (itemehZbz,0.00029134342912584543) (itemsaQmG,0.000284061417914927) (itemqF1uc,0.0002223048359155655) (itemwrPNe,0.00019878199964296073) (itemexwfY,0.00018910403014160693) (itemup8oB,0.0001567245926707983)* (itemf6vR5,0.00014344890951178968) (item03CQ6,0.00013704231241717935) (itemrDLmp,0.0001307303027715534)
uservIgrQ: (itemr7q87,0.00026330971741117537) (itemg6NgV,0.00022015052672941238) (itemMpeEL,0.0002083062136080116) (itemCVpf3,0.00020289525855332613) (itemxvrbY,0.00019741900905501097)* (itemhOGIE,0.00019227822485845536) (item9M3lc,0.00018218133482150733) (itemjeN5W,0.0001753085816744715)* (itemEZob3,0.00017205087351612747) (itemVda4U,0.00016486362437717617) (itemZIbqG,0.00015375106886494905)* (itemSnsYW,0.00014045181160327047) (itemLDh7R,0.0001325220218859613) (itemehZbz,9.99208350549452e-05)* (item178I3,9.561603656038642e-05) (itemd7GN3,8.851158781908453e-05) (itemBmrIx,8.420643280260265e-05) (itemfL8PL,8.12099315226078e-05) (itemBuZOt,8.053317287703976e-05) (itemMNxUT,5.405873525887728e-05)*
useraAGtk: (itemEzeNr,0.0004168874002061784) (itemcAUzH,0.0003602615906856954) (item4YMYG,0.00022934821026865393) (itemSEVUh,0.00021956284763291478) (itemw0Hbk,0.00019829647499136627) (itemjIyZN,0.00019373158283997327) (item0VuxA,0.00018841979908756912) (itembuWyf,0.0001881735515780747)* (item84cQ6,0.00017728927196003497) (itemdC6Wf,0.00017619934806134552) (itemmt9Zs,0.00017372558068018407) (itemUOpVk,0.0001671243371674791) (itemRNQTR,0.00015697799972258508) (item9muy9,0.00014486393774859607) (item7XnWI,0.0001419708860339597)* (itemvQ7sQ,0.0001345677301287651)* (itemVHyMp,0.00013294533709995449) (itemAzjPR,0.00012952394899912179) (itemFsCNW,0.00012770744797307998)* (itemUyXau,0.00011970769992331043)
uservVAs9: (itemBkBCG,0.00043742667185142636) (itemAzjPR,0.00033913119114004076) (itemqD4yX,0.0003199008933734149) (itemySRfm,0.0003171372809447348) (itemVARpF,0.00030935899121686816)* (itemgEevH,0.00025140459183603525) (itempLAQY,0.000251190533163026) (itemRMr3n,0.00020506184955593199) (itemvpxYm,0.0002024695131694898)* (item80q9y,0.00019876909209415317) (itemABTMM,0.00015881509170867503) (itemcAUzH,0.00014367030235007405) (iteme1aEV,0.00013538385974243283) (itemWUHgc,0.00012865055759903044) (itembHmsT,0.00012212360161356628)* (itemHrihE,0.00011897349759237841) (item4p3W3,0.00011593173258006573) (itemuNHoh,0.00010452605783939362) (itemsB45O,0.00010012532584369183) (itemFsCNW,9.006315667647868e-05)
userTbHVD: (itemDYrOS,0.0004651921335607767) (itemKe2Er,0.0004350346280261874) (itemIBbVf,0.000423297518864274) (itempGfZ6,0.00038018549093976617) (itemqth87,0.00031863636104390025)* (itemmt9Zs,0.00028284432482905686)* (itemjIyZN,0.0002199519076384604) (item52xJ8,0.00021792572806589305) (itemYp8lv,0.0002103492006426677) (itemVARpF,0.00017317278252448887) (itema506d,0.00016705461894162) (item4YMYG,0.00015091628301888704)* (item6hTeJ,0.00014819104399066418) (itembHmsT,0.00014412733435165137) (itemxwCH9,0.00013557342754211277) (itemvQ7sQ,0.0001312001550104469) (item1PK0V,0.0001235231466125697) (itemjmSae,0.00011826481204479933) (itemySRfm,0.00011386578989913687) (itemvHkzH,0.00011082584387622774)*
useryKPmt: (itemAj7Pj,0.0005144336028024554) (itemRKTJC,0.0004961249651387334)* (itemDYrOS,0.00046087062219157815) (itemd7GN3,0.00044986704597249627) (itemEQ5kD,0.0003515291609801352) (item80q9y,0.0003266535932198167) (itemjmSae,0.00026128761237487197) (itemLDh7R,0.00025554042076691985)* (itemexwfY,0.0002454939531162381) (item23scr,0.00021725580154452473) (itemtXKxm,0.00020225791377015412) (itemABTMM,0.0001925632095662877) (itemUOpVk,0.00018987609655596316) (itemdkR3x,0.00018171966075897217) (item03CQ6,0.00017959036631509662) (itemup8oB,0.00015265864203684032)* (itemEzeNr,0.00014762184582650661) (itemuz9u2,0.000136954928166233)* (itemySRfm,0.0001344153133686632) (itemLPkI9,0.00013055869203526527)
userOPEPI: (itembuWyf,0.0005877969088032842) (itemqth87,0.00042661107727326453) (itemsB45O,0.00039866374572739005) (itemvjUdv,0.0003873280656989664) (item0rrNz,0.00024070771178230643)* (itemd9ChJ,0.0002346291730646044) (itemqppyW,0.00022353659733198583)* (item23scr,0.00017970713088288903)* (itemyo43o,0.0001781143801053986) (itemySRfm,0.00017141122953034937) (itemAj7Pj,0.0001636771485209465)* (item84cQ6,0.00015262576926033944) (itemvQ7sQ,0.00014007966092322022) (itemwAkpa,0.00013855118595529348) (itemEB2ZL,0.00013448171375785023) (itemxwCH9,0.00013169666635803878) (itemyWo9i,0.00012476035044528544)* (itemjmSae,0.0001222586288349703) (itemjeN5W,0.00011386917321942747) (itemYgdNj,0.00011240693856962025)
userjFzvH: (itemYOYte,0.00040230382001027465) (itemVARpF,0.0003184315864928067)* (itemJyBn3,0.00031618954380974174) (itemuaFxY,0.000313925847876817)* (itemDYrOS,0.0003120005130767822) (itemy6Af3,0.0002805271069519222) (itemKHT0l,0.00026630295906215906) (itemAj7Pj,0.0002542526926845312)* (itemEZob3,0.0002535303065087646) (itemlN5jA,0.0002519309928175062) (itemRMr3n,0.00023464826517738402) (itemhOGIE,0.00021544758055824786)* (itemiCowm,0.00019480372429825366) (itemZCI04,0.00017689273227006197) (itembHmsT,0.00017102308629546314)* (itemOCA2H,0.00016471679555252194)* (itemxvrbY,0.00016427686205133796)* (itemiXwHJ,0.00016408099327236414) (item4YMYG,0.0001621586416149512)* (itemXLYXV,0.0001525381812825799)*
user3dYr4: (itemf6vR5,0.000431178166763857) (itemWUHgc,0.000409559317631647)* (itemTAGOA,0.0003861342556774616) (itemrDLmp,0.0003431741497479379) (itemjmSae,0.0003380178823135793)* (item6TcLl,0.0003222321392968297) (item4p3W3,0.0002994797541759908)* (itemPn5yf,0.00028568270499818027) (itemUyXau,0.00027418765239417553) (itemxwCH9,0.00026483123656362295) (itemd9ChJ,0.0002551481011323631) (itemBuZOt,0.00024501795996911824) (itemGgwft,0.0001936321350513026)* (itemjeN5W,0.00016146483540069312) (itemXLYXV,0.0001602452393854037) (itemuNHoh,0.000145821861224249) (item0QA86,0.0001406772353220731)* (itemdkR3x,0.0001391617115586996) (itemO64Fe,0.00013792896061204374) (itemsF3jV,0.00013234466314315796)*
userEsCm8: (itemAlGQe,0.00044965045526623726) (itemqth87,0.0003399044508114457) (item80q9y,0.00033549510408192873) (itemvHkzH,0.0003349068865645677) (itemBmrIx,0.0003024954057764262) (itemQkv6a,0.0002776595647446811) (itemiXwHJ,0.00021915562683716416) (itemnvCLA,0.0001840451586758718) (itemMpeEL,0.0001839566684793681) (itemRNQTR,0.0001834916474763304)* (itemDAINx,0.00017288827802985907)* (itemqF1uc,0.0001682994479779154) (itemyWo9i,0.0001653328799875453) (item9lgJn,0.0001549260487081483) (itemsB45O,0.00014133019431028515)* (itemLPkI9,0.000140097297844477) (itemakzor,0.00013762479647994041) (itemmbGoj,0.00010762291640276089)* (itemrDLmp,9.535795834381133e-05) (itemRMr3n,9.400465205544606e-05)
userBpH3N: (itemVARpF,0.00041229877388104796) (item9DjWX,0.0003803573199547827) (itemeROTS,0.00035431631840765476) (itemgoCpP,0.0003204350941814482) (item1PK0V,0.000317767437081784) (itemRMr3n,0.00031266495352610946) (itemMNxUT,0.000256470637395978) (itemgEevH,0.00020101618429180235) (itemdqVVX,0.00019901141058653593) (itemcAUzH,0.00017973412468563765) (itemehZbz,0.0001258655684068799)* (itemkHjKP,0.00012127414811402559) (itemTAGOA,0.00011749668919946998) (itemYp8lv,0.00010873023711610585) (itemuNHoh,0.00010371620010118932) (itemxbm5F,9.071266686078161e-05) (itemSEVUh,7.248906331369653e-05) (items32yz,6.896551349200308e-05)* (itembHmsT,6.52742019155994e-05) (itemySRfm,6.204724195413291e-05)
userxGXFq: (item9M3lc,0.00036640293546952307) (items32yz,0.0003087751683779061) (itemjeN5W,0.00028210459277033806) (item80q9y,0.00025804745382629335) (itemUOpVk,0.0002454869681969285)* (itemdC6Wf,0.00021862887660972774) (itemZCI04,0.00021145446226000786) (itemXLYXV,0.00020952797785867006) (itemwBj8x,0.000169607883435674) (itemRNQTR,0.0001537717180326581) (itemzfaal,0.00015323942352551967) (itemCVpf3,0.00014259261661209166) (itemuz9u2,0.00014064018614590168) (itemEQ5kD,0.00013910407142248005) (itemnO4tX,0.00012100677122361958)* (item9muy9,0.00011609352077357471) (itemUFxkv,0.00011408160207793117) (itemhOGIE,0.00010544226097408682) (itemAj7Pj,0.00010459077020641416)* (itemEzeNr,0.00010100069630425423)*
userVvdgt: (itemH8gzP,0.000581373751629144)* (item03CQ6,0.00032167305471375585) (itemlepVl,0.000311268464429304) (itemcVs96,0.00029302912298589945) (itemYp8lv,0.0002805281546898186) (itemxvrbY,0.00024186840164475143) (itemmbGoj,0.00023585243616253138) (itemr7q87,0.00022575361072085798) (itemV1Vwk,0.00022251030895859003) (itempLAQY,0.00021889030176680535) (itemr1zoc,0.00019190507009625435)* (iteme5OvS,0.0001892590371426195) (itemh9nHh,0.0001641726994421333) (itemqD4yX,0.0001557629875605926) (itemZIbqG,0.0001436692546121776) (itemsB45O,0.00013694145309273154) (itemxCvQp,0.00013460559421218932) (item2FMEC,0.00012852507643401623)* (itemmt9Zs,0.00012728344881907105) (itemgEevH,0.00011724478827090934)
userfz4zC: (iteme1aEV,0.0005167553899809718) (itemYOYte,0.00040009646909311414) (itemwrPNe,0.0003923255717381835) (item6TcLl,0.00033709476701915264) (itemgoCpP,0.0003238906792830676)* (itemqD4yX,0.00031168441637419164)* (itemCmV8W,0.0002998162526637316) (itemrT9kO,0.0002949052141048014) (item1PK0V,0.00028246434521861374)* (itemv7Clw,0.0002678031742107123) (item0amMQ,0.00026121095288544893) (itemPzRe5,0.0002470840117894113) (itemBkBCG,0.00024242777726612985) (itemySRfm,0.00023206256446428597) (itemUo6cI,0.00020433534518815577)* (itemr7q87,0.00019869685638695955) (item9muy9,0.0001872683351393789) (itemaPbf4,0.00018419756088405848) (itemehZbz,0.00018378751701675355)* (itemRMr3n,0.00016067962860688567)
userNL6ye: (itemRKTJC,0.0005652294494211674) (itemaPbf4,0.00038561056135222316) (itemup8oB,0.0003119817120023072) (itemABTMM,0.00029901150264777243) (itemxwCH9,0.00029768969397991896) (itemcVs96,0.0002727318205870688) (itemvn3OC,0.000240690351347439) (itemAj7Pj,0.0002056310186162591) (itemEzeNr,0.00020063156262040138) (item7XnWI,0.00019937282195314765) (itemwBj8x,0.00019840117602143437) (itemd9ChJ,0.00017182904412038624) (itemDYrOS,0.00016769071226008236) (itemO64Fe,0.0001604573189979419) (itemXxPjl,0.00014499139797408134) (itemsB45O,0.00014391125296242535) (itemAlGQe,0.00013940667849965394) (item0QA86,0.00013001357729081064) (itemkHjKP,0.00012858778063673526) (itemr7q87,0.00011791018187068403)*
userXIciZ: (itemvjUdv,0.0005686267977580428) (itemXLYXV,0.00040670923772267997)* (itemd7GN3,0.0003808758920058608) (itemjeN5W,0.00036200496833771467) (itemPn5yf,0.00033001674455590546) (itemRKTJC,0.0003296820796094835) (itemw0Hbk,0.0003221557126380503)* (itemZIbqG,0.00031905336072668433) (itemWUHgc,0.0002920461993198842) (itemVZJC8,0.0002575101098045707) (itemBmrIx,0.0002536483807489276) (item6hTeJ,0.00024914968525990844) (itemyWo9i,0.0002434420894132927)* (itemxvrbY,0.00024248057161457837) (itemEB2ZL,0.00021230067068245262) (itemvpxYm,0.00020334217697381973) (itemTuHK9,0.00019514434097800404)* (itemUiRdE,0.0001928766432683915) (itemdjMTE,0.00018750976596493274)* (item64Mnl,0.00017239784938283265)
userTHymG: (itemPn5yf,0.00046408677008002996) (itemsF3jV,0.0004046977264806628) (itemQStwf,0.0004025999514851719) (itemrDLmp,0.00038531297468580306) (itemvjUdv,0.0003655408218037337) (itemvpxYm,0.00034620327642187476) (itemexwfY,0.0003122998750768602)* (itemjeN5W,0.00030705812969245017) (itemySRfm,0.0003023903991561383) (itemQJNS2,0.000297423976007849)* (item9lgJn,0.00025233434280380607) (item52xJ8,0.00024200056213885546) (itemf6vR5,0.0002347289555473253) (itemSW5s8,0.00023460281954612583) (itemdkR3x,0.00022533134324476123) (item4FB6e,0.00022144064132589847) (item0VuxA,0.00021818607638124377) (itemmbGoj,0.00019434411660768092) (itemAj7Pj,0.00018889419152401388)* (itembuWyf,0.00018737470963969827)
userKWMYJ: (itemjIyZN,0.0005565042956732213)* (itemaPbf4,0.0005166687769815326) (itemH8gzP,0.0004154616908635944)* (itemEQ5kD,0.00035018782364204526) (itemAj7Pj,0.00034828585921786726)* (itemexwfY,0.0003082318289671093) (iteme1aEV,0.0002419604716124013) (itemgoCpP,0.00016098530613817275) (itemVHyMp,0.00015269158757291734)* (itemMNxUT,0.00014900328824296594) (itemakzor,0.0001266234612558037) (itemZCI04,0.00011190067743882537)* (itemwAkpa,0.00010758277494460344) (item96Uu6,0.00010358820873079821) (item64Mnl,9.723945549922064e-05) (itemEZob3,9.635710739530623e-05)* (itemdoXAn,9.130313992500305e-05) (itemeROTS,7.195162470452487e-05) (itemUo6cI,6.69299770379439e-05) (itemxCvQp,4.8165780754061416e-05)
userpKjBY: (itemmt9Zs,0.0005698844906874001) (itemiCowm,0.00044732162496075034) (itemEzeNr,0.000374754483345896) (itemAj7Pj,0.00034656591014936566)* (itemqth87,0.00028658416704274714)* (itemyWo9i,0.00024656913592480123) (itemyo43o,0.0002178466966142878) (itemY6045,0.00019541638903319836)* (item7gr06,0.00019220872491132468) (itemABTMM,0.00018863013247027993)* (itemxwCH9,0.00018470696522854269) (item96Uu6,0.00015641553909517825) (itemxvrbY,0.0001481497602071613) (itemQStwf,0.00011871238530147821) (itemcvY2p,0.00011500196706037968) (itemTAGOA,0.00010609853779897094) (itemIBbVf,0.0001026164973154664) (itemV1Vwk,9.432148362975568e-05) (itemqppyW,8.523845463059843e-05)* (item0VuxA,7.787037611706182e-05)
userRqCeX: (itemaTHnd,0.0006378070684149861)* (itemexwfY,0.0003212112933397293)* (itemvHkzH,0.0002714282600209117) (itemEB2ZL,0.00026591421919874847) (item4FB6e,0.00025981967337429523)* (itemf6vR5,0.00022095884196460247) (itemYgdNj,0.000205679185455665) (itemcvY2p,0.00020081474212929606) (itemBkBCG,0.0001949381548911333) (itemDfuZl,0.0001786325592547655)* (itemcWumf,0.00017117810784839094) (itemmt9Zs,0.00016252283239737153) (itemYp8lv,0.00015790014003869146)* (itemLDh7R,0.00015216217434499413)* (itemDYrOS,0.00014542031567543745) (itemSEVUh,0.00014009096776135266) (itemyo43o,0.0001296607661060989) (itemzfaal,0.00012201476783957332)* (itemVda4U,9.607178799342364e-05) (itemMNxUT,8.582220470998436e-05)
useraUavY: (itemwinns,0.0004053239244967699) (itemLPkI9,0.0003900331212207675) (itemrT9kO,0.00030584074556827545) (itemg6NgV,0.0002562682202551514) (item23scr,0.00022872889530844986) (itemsaQmG,0.00021424645092338324)* (itemWeaex,0.00018697866471484303)* (itemdjMTE,0.00018508738139644265) (itemFEgKI,0.00015341007383540273) (item162CY,0.00010273570660501719) (itemQkv6a,7.748212374281138e-05) (itemH8gzP,7.719642599113286e-05) (itemuNHoh,7.385495700873435e-05)* (itemyWo9i,6.674379983451217e-05) (itemFoRzs,5.0206377636641264e-05) (itemvQ7sQ,4.6936533180996776e-05) (itemdC6Wf,4.5428023440763354e-05) (itemUo6cI,2.0971150661353022e-05) (itemdoXAn,-2.4225628294516355e-06) (itemxvrbY,-3.854678652714938e-06)
uservzAWa: (itemgEevH,0.000534619321115315) (iteme1aEV,0.0003713382175192237)* (itemEzeNr,0.00033841474214568734) (itemySRfm,0.0003356756642460823) (item52xJ8,0.00032794769504107535) (itemcAUzH,0.0002829909499268979) (itemSW5s8,0.0002538147382438183) (itemwAkpa,0.0002485672594048083) (itemYp8lv,0.00024293482420034707) (itemY6045,0.00024053480592556298) (itemzexIV,0.00023754297581035644) (itemehZbz,0.00023348708054982126) (itemBuZOt,0.00023265008348971605) (itemLPkI9,0.00020146617316640913) (itemxbm5F,0.0001916578912641853) (item9lgJn,0.00018641722272150218) (item4FB6e,0.00018181301129516214) (item23scr,0.00016086274990811944) (itemUyXau,0.00014554153312928975)* (itemXLYXV,0.00014357524923980236)
useruR6i7: (itemQStwf,0.0006039868458174169) (itemKHT0l,0.0003731872420758009) (itemBmrIx,0.00026526435976848006) (itemhOGIE,0.00025862615439109504) (itemehZbz,0.0002456590882502496)* (itemjeN5W,0.00022932406864129007) (itemGAqYy,0.0002106536994688213) (itemJaOdU,0.00019758852431550622) (item52xJ8,0.00019564811373129487) (itemoSaYE,0.0001871097629191354) (itemEzeNr,0.0001845893420977518) (item7XnWI,0.00016624564887024462) (itemRy5SF,0.00016045360825955868) (itemTuHK9,0.0001493559539085254) (item4YMYG,0.00013192210462875664) (item6TcLl,0.00013071288412902504) (itemdjMTE,0.00012967726797796786)* (itemqth87,0.00012642685032915324) (itemVZJC8,0.0001221870188601315) (itemRKTJC,0.00011938915122300386)
userAzNXt: (item9lgJn,0.0003478258731774986) (itemRNQTR,0.0003345804288983345) (itemAj7Pj,0.00024699472123757005) (itemGgwft,0.00021309636940713972)* (itemtXKxm,0.0002120482240570709) (itemZCI04,0.0001908763952087611) (itemdqVVX,0.00018953766266349703) (item80q9y,0.00016827469517011195) (itemup8oB,0.00014834562898613513) (item96Uu6,0.00013536112965084612) (item4p3W3,0.00013500898785423487) (itemXLYXV,0.00013155583292245865) (itemrDLmp,0.0001315305707976222) (itemlAKEf,0.00013076694449409842) (itemQkv6a,0.0001274928799830377) (itemY6045,0.00011924874706892297)* (itemEB2ZL,0.00011167173215653747) (itemyo43o,0.00010484837548574433) (itemmMX2p,0.00010238782851956785)* (itemdC6Wf,9.849895286606625e-05)*
usermobRV: (itemKckEp,0.0003311872133053839) (item1PK0V,0.00032976228976622224) (itemuNHoh,0.0002530074561946094) (itemYOYte,0.0002363573294132948) (items32yz,0.00022943908697925508) (itemxCvQp,0.00019697488460224122) (item0QA86,0.00019176688510924578) (itemxwCH9,0.0001760454470058903)* (iteme1aEV,0.00016992783639580011) (itemQJNS2,0.00013806333299726248) (itemSrPKx,0.0001351106184301898) (item7XnWI,0.00012541693286038935) (itempLAQY,0.00011433017061790451) (itemUFxkv,0.00011392655142117292)* (itemllUul,0.00011091373744420707) (itemy6Af3,0.00010558712529018521) (itemXxPjl,0.00010341277811676264) (itema506d,9.356805821880698e-05) (itemVARpF,7.660064147785306e-05) (itemcvY2p,7.610990724060684e-05)*
userk6Mri: (itemr1zoc,0.0003095943829976022) (itemPn5yf,0.0003005730686709285) (itempGfZ6,0.0002887832233682275) (item23scr,0.0002775493776425719) (itemjeN5W,0.00027567389770410955) (itemDfuZl,0.0002730396809056401)* (itemSW5s8,0.0002645079221110791) (itemEZob3,0.0002415333583485335) (itemTuHK9,0.00022816049749962986) (itemaTHnd,0.0002212946128565818)* (itemexwfY,0.00021149893291294575)* (item52xJ8,0.00020295995636843145)* (itemcVs96,0.0001936218759510666) (item9lgJn,0.00019325978064443916) (itemRy5SF,0.00019176938803866506) (itemwAkpa,0.00016903021605685353)* (itemUOpVk,0.00016501547361258417)* (itemV1Vwk,0.00014975173689890653) (itemJaOdU,0.00014318617468234152)* (itemvjUdv,0.00013242549903225154)
userxrwAf: (itemjmSae,0.0003435469698160887) (itemCVpf3,0.00030917697586119175) (item162CY,0.0003020640870090574) (itemguPDr,0.00026867465930990875) (itemzfaal,0.00025075438315980136) (itemY6045,0.00022900114709045738) (itemMpeEL,0.0002071574272122234) (itemjeN5W,0.0002069509500870481) (itemSEVUh,0.00019049337424803525)* (item03CQ6,0.00018943836039397866) (item9M3lc,0.00017906373250298202) (itemx52zm,0.00016747588233556598) (itemBmrIx,0.00016037069144658744) (itemQkv6a,0.00014749474939890206) (itemvHkzH,0.00013916655734647065) (itemUyXau,0.00012204193626530468)* (itemXLYXV,0.0001181859479402192) (itemup8oB,0.00011764958617277443) (iteme5OvS,0.00011660059681162238)* (itemexwfY,9.895435505313799e-05)
