userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
user7PXAP: (itemlN5jA,0.00037051827530376613) (itemnvCLA,0.00033355806954205036) (itemDYrOS,0.0003287862055003643) (itemVARpF,0.00032118428498506546) (itemFsCNW,0.0003144147340208292)* (itemcVs96,0.00028728815959766507) (itemVHyMp,0.0002734840090852231) (itemdjMTE,0.0002491893246769905) (itemRMr3n,0.00024522707099094987) (itemAzjPR,0.00023180333664640784) (item84cQ6,0.00022777169942855835) (itemTuHK9,0.0002017355291172862)* (itemrT9kO,0.0001869479747256264) (itemuNHoh,0.000175931811099872) (itemlHCkK,0.00017277500592172146)* (item9lgJn,0.00016036008310038596) (item618n3,0.00012488615175243467) (itemYOYte,0.00012343966227490455) (itemwrPNe,0.0001194007127196528) (itemFEgKI,0.00011606253974605352)*
user3niUH: (itemAj7Pj,0.0004607413720805198)* (itemd7GN3,0.00045764734386466444) (itemjmSae,0.00043970608385279775) (itemRMr3n,0.00043662040843628347) (iteme1aEV,0.0004071947478223592) (itemUOpVk,0.0003351990017108619) (item9M3lc,0.0003096437721978873) (item23scr,0.00025639342493377626)* (itemMNxUT,0.00022904726210981607) (itemVHyMp,0.0002161070005968213) (itemaPbf4,0.00021361841936595738) (itemrDLmp,0.00020577089162543416) (item6TcLl,0.00019903368956875056) (itemvQ7sQ,0.0001939459762070328)* (item80q9y,0.00018269038992002606) (item9DjWX,0.00016860550385899842)* (itemTAGOA,0.0001385738141834736) (itemdqVVX,0.00013838292215950787) (itemKe2Er,0.0001381876936648041) (itemY6045,0.0001152355398517102)
userQrGSE: (itemuaFxY,0.0004645694571081549) (itemva2ph,0.00039250258123502135) (itemVZJC8,0.000345325272064656) (itemvjUdv,0.0003334851935505867) (itemVHyMp,0.0003183592052664608) (item31doJ,0.0003071505925618112) (itemg6NgV,0.000300896936096251) (itemjeN5W,0.00029928097501397133)* (itemeROTS,0.00029338416061364114) (itemuz9u2,0.0002730773121584207) (itemyWo9i,0.00022840261226519942) (itemFjQ4M,0.0002193169784732163) (item618n3,0.0002043378190137446) (iteme5OvS,0.00019334668468218297) (itema506d,0.00017848052084445953) (itemr7q87,0.00015355808136519045) (itemKe2Er,0.0001461347856093198) (itemv7Clw,0.00012530270032584667) (itemLDh7R,0.00010563388786977157) (itemZCI04,9.604778460925445e-05)*
userhn3H7: (itemYgdNj,0.000613128999248147) (itemgEevH,0.0005593070527538657) (itemSEVUh,0.0005193086690269411) (itemQStwf,0.00048672023694962263) (itemIBbVf,0.00046780091361142695) (itemXLYXV,0.0003811329952441156) (itemdjMTE,0.0003668847493827343) (item31doJ,0.0003128483076579869) (itemmMX2p,0.0003100700268987566) (itemDF5f3,0.0002944823354482651) (item4FB6e,0.00028796764672733843) (itemwAkpa,0.0002652324619702995) (itemVZJC8,0.0002310965210199356)* (itemvjUdv,0.00020498971571214497) (itema506d,0.00020468457660172135) (itemY6045,0.00020218560530338436) (items32yz,0.00019665382569655776) (item0amMQ,0.00018286440172232687) (itemf6vR5,0.00016315808170475066) (itemVHyMp,0.0001627924939384684)
user9xbHl: (itemYgdNj,0.0003371357452124357)* (itemvQ7sQ,0.0002895472280215472)* (itemySRfm,0.0002890175092034042) (itemsaQmG,0.0002879204985219985) (itemFsCNW,0.00025968774571083486) (itemABTMM,0.00023247301578521729) (itemdqVVX,0.00022765202447772026)* (itemUiRdE,0.0002141036093235016) (itemqth87,0.00020761709311045706) (itemiXwHJ,0.0001982527319341898) (itemy6Af3,0.0001953754253918305)* (itemoSaYE,0.00019307166803628206)* (itemSW5s8,0.0001928252459038049)* (item162CY,0.00018295092741027474) (itemWngsI,0.00018244003877043724) (itemDF5f3,0.00017671074601821601) (itemPzRe5,0.00017579988343641162) (item0VuxA,0.00016610279271844774) (itemllUul,0.00015958947187755257) (itemgEevH,0.00012316471838857979)*
uservIgrQ: (itemUFxkv,0.0005046988371759653) (item52xJ8,0.0004722455341834575)* (itemfL8PL,0.00043052618275396526) (item03CQ6,0.00039311120053753257) (itemjeN5W,0.0003590811975300312)* (item1PK0V,0.00030476937536150217) (itemmMX2p,0.0002830896992236376)* (itempLAQY,0.00027816867805086076) (itemLDh7R,0.00026863819221034646) (itemSrPKx,0.00023521954426541924) (itemO64Fe,0.0002151823282474652) (itemY6045,0.00018330618331674486)* (itemBuZOt,0.00017405701510142535) (itemr7q87,0.00015375988732557744) (itemBmrIx,0.00015297649952117354) (itemcAUzH,0.0001413782883901149) (itemxvrbY,0.00013274053344503045)* (itemup8oB,0.00012551495456136763) (itemUo6cI,0.00010299978021066636) (itemFjQ4M,9.378683171235025e-05)
useraAGtk: (itemgEevH,0.0006363679422065616) (itemh9nHh,0.0005481417756527662) (itemVHyMp,0.000520791276358068) (itemTAGOA,0.0004994957707822323) (itemUOpVk,0.00044172315392643213) (itemBmrIx,0.0004044462984893471) (itemHrihE,0.00039675552397966385) (itemLPkI9,0.0003600774798542261) (itemAzjPR,0.0003290255554020405) (itemwinns,0.00032574147917330265) (itemJyBn3,0.00031604987452737987) (item162CY,0.00029258948052302003) (item0MxmA,0.0002525865565985441) (itemAlGQe,0.0002324426604900509)* (itemjmSae,0.00022243757848627865) (itemzexIV,0.00019335461547598243)* (itemwrPNe,0.0001830215915106237) (itemWngsI,0.00017172007937915623) (itemVda4U,0.00015869758499320596) (itemjeN5W,0.00014317696332000196)
uservVAs9: (itemyo43o,0.0003710734599735588) (itempLAQY,0.0003473508986644447) (itemzfaal,0.0003017145791091025) (item03CQ6,0.00027036367100663483) (itemxbm5F,0.0002331706346012652) (itema506d,0.00023220905859488994) (item0rrNz,0.00020996981766074896) (itemrT9kO,0.00018971235840581357) (itemWUHgc,0.00018367829034104943) (itemaTHnd,0.00016814557602629066) (itemcvY2p,0.00015830359188839793) (itemtXKxm,0.00014592459774576128) (itemRKTJC,0.00012741819955408573) (itemqD4yX,0.0001266019098693505) (item0amMQ,0.00012604272342287004)* (itemHrihE,0.00011466894648037851) (item4p3W3,0.00010999012010870501) (itemAzjPR,8.82364038261585e-05) (itemEzeNr,5.628066719509661e-05) (itemcAUzH,4.797053406946361e-05)
userTbHVD: (itemup8oB,0.0004965026746504009)* (item96Uu6,0.0003937740111723542) (itemBmrIx,0.0003496036515571177) (itemSrPKx,0.0003474254917819053) (itemx52zm,0.00031448237132281065)* (item80q9y,0.00030479690758511424) (itemHrihE,0.0002720892953220755) (itemiCowm,0.00026505865389481187) (itemRKTJC,0.00024759455118328333) (itemllUul,0.0002388547727605328)* (itemMpeEL,0.0002253791899420321)* (itemH8gzP,0.0002205944765591994)* (itemlN5jA,0.00021428221953101456) (items32yz,0.00021380555699579418) (itemAlGQe,0.00020157638937234879) (itemFjQ4M,0.0001889550912892446) (itemllAnb,0.00018531657406128943) (itemvn3OC,0.00018509500660002232) (item0QA86,0.00018072445527650416) (itema506d,0.00017617268895264715)
useryKPmt: (itemFoRzs,0.00035901556839235127) (itemva2ph,0.00034222169779241085)* (item4FB6e,0.00028913261485286057) (itemy6Af3,0.0002841473324224353)* (itemvpxYm,0.00027726186090148985) (itemrT9kO,0.0002716384478844702)* (itemnvCLA,0.00025289857876487076) (itemcAUzH,0.0002504524018149823)* (itemr1zoc,0.00024495067191310227) (itemxwCH9,0.0002182149182772264) (itemiCowm,0.00019238077220506966) (itemxbm5F,0.00017028710863087326) (itemYOYte,0.00016310247883666307) (itemY6045,0.00014866952551528811) (itemAlGQe,0.00014569259656127542)* (itemLPkI9,0.0001331640814896673) (itemxCvQp,0.00013282528379932046) (itemUyXau,0.00013190439494792372) (itemnO4tX,0.00010914530867012218)* (itemup8oB,0.00010401019244454801)*
userOPEPI: (itemMzrpc,0.0005244736094027758) (itemd9ChJ,0.00043542328057810664) (itemguPDr,0.000401477562263608) (itemABTMM,0.0003520030004438013) (itemup8oB,0.00034447855432517827) (itemKckEp,0.00028633151669055223) (itemqD4yX,0.00027301174122840166) (itemEB2ZL,0.0002524972369428724) (itemwrPNe,0.000250078592216596) (itemjmSae,0.00021408450265880674) (itemllAnb,0.0002016325161093846) (iteme5OvS,0.00019763567252084613) (itemJyBn3,0.00018654411542229354) (itemUiRdE,0.00017874878540169448) (itemfL8PL,0.00017720737378112972) (itemUFxkv,0.00016877076996024698) (itemd7GN3,0.00015065375191625208) (itemPzRe5,0.00015045535110402852) (item4p3W3,0.00014982454013079405) (itemMpeEL,0.00013471581041812897)*
userjFzvH: (item64Mnl,0.0003803943982347846) (itemdjMTE,0.0003641358925960958) (item4YMYG,0.00033747946145012975)* (itemVHyMp,0.00033367329160682857) (itemuaFxY,0.0003274299670010805)* (itemiCowm,0.00029728483059443533) (itemFsCNW,0.0002748258411884308) (item9DjWX,0.0002565881295595318) (itemlN5jA,0.000229278375627473) (itemAzjPR,0.00021508841018658131) (itemWUHgc,0.00021276144252624363) (itemYOYte,0.00020018371287733316) (itemAlGQe,0.00019168644212186337) (itemjeN5W,0.00018220115453004837) (item31doJ,0.00018158613238483667)* (itemgEevH,0.00017277352162636817)* (itemcVs96,0.00016792395035736263)* (itemWngsI,0.00015978059673216194) (itemvQ7sQ,0.0001403715432388708) (item162CY,0.00013719465641770512)
user3dYr4: (itemPn5yf,0.0004459585761651397) (itemdC6Wf,0.00039077672408893704)* (itemf6vR5,0.0003736539511010051) (item6TcLl,0.0003454622928984463) (itemllUul,0.00033915156382136047) (itemUyXau,0.0003114873543381691) (itemqppyW,0.0002498464018572122) (item9DjWX,0.00023771484848111868) (itemFzVAJ,0.00023342238273471594) (itemTAGOA,0.00020685206982307136) (itemXLYXV,0.0002017650695051998) (itemqD4yX,0.0001883660297608003)* (item9muy9,0.0001815139112295583) (itema506d,0.00018088813521899283) (item31doJ,0.00017153294174931943)* (itemLDh7R,0.00016958687047008425) (itemuNHoh,0.00014918656961526722) (itemdjMTE,0.0001468208502046764)* (item0amMQ,0.0001362273469567299) (itemsB45O,0.0001358526642434299)
userEsCm8: (itemzfaal,0.00031397800194099545) (itemDAINx,0.0003034231485798955)* (itemLPkI9,0.0003023405442945659) (itemEzeNr,0.00026157329557463527) (itemQStwf,0.0002313741424586624) (item162CY,0.00019381374295335263) (itemJyBn3,0.00018879285198636353) (itemiCowm,0.00017903069965541363) (itemY6045,0.00016901551862247288) (itemlHCkK,0.00016228113963734359)* (iteme1aEV,0.00015317753423005342) (itemmbGoj,0.00015071108646225184)* (item80q9y,0.00014137598918750882) (itemQJNS2,0.00013753959501627833) (itemRMr3n,0.000125031394418329) (itemwAkpa,0.00012501998571678996) (itemRKTJC,0.0001230104680871591)* (itemySRfm,0.00011600472498685122) (item6TcLl,0.00010897755419136956) (item2FMEC,0.00010793805995490402)
userBpH3N: (itemjeN5W,0.00047757732681930065) (itemMNxUT,0.000444840727141127) (itemrT9kO,0.00043421692680567503) (itemqth87,0.0003926754288841039) (itemQkv6a,0.0003511652466841042) (itemvQ7sQ,0.000321083702147007) (itemguPDr,0.00030659319600090384) (itemIBbVf,0.0002882429398596287) (item0VuxA,0.0002737707691267133) (itemxCvQp,0.00024345955171156675)* (itempLAQY,0.00021344612468965352) (itemSEVUh,0.00021150683460291475) (itemd7GN3,0.00021085364278405905)* (item52xJ8,0.00020505257998593152) (itemvjUdv,0.00018249277491122484) (itemsB45O,0.0001799420570023358) (itemaPbf4,0.00017204807954840362) (itemehZbz,0.00016252539353445172)* (itemySRfm,0.00015725207049399614) (itembHmsT,0.00014298023597802967)
userxGXFq: (itemqF1uc,0.0004691887879744172) (itemDAINx,0.0004459168412722647) (itemgoCpP,0.00036737287882715464) (itemy6Af3,0.000291164789814502) (itemqD4yX,0.00027168443193659186) (itemhOGIE,0.0002565179602243006) (itemYOYte,0.00025581795489415526) (itemeROTS,0.0002492127532605082) (itemcAUzH,0.00024506670888513327) (itemg6NgV,0.00023392074217554182) (item03CQ6,0.00020609385683201253) (itemBmrIx,0.00018086543423123658)* (itemuNHoh,0.00016728944319766015) (itemvjUdv,0.00016687012976035476) (itemSEVUh,0.00016562777454964817) (itemdC6Wf,0.00016348317149095237) (item618n3,0.00015464560419786721) (itemwBj8x,0.0001435866579413414) (itemEQ5kD,0.00013143291289452463) (itemN8AZu,0.00012047577183693647)
userVvdgt: (itemh9nHh,0.0004355674027465284) (itemaTHnd,0.0003986861265730113) (itemQkv6a,0.0003139421751257032) (itemDfuZl,0.00028463813941925764) (itemCmV8W,0.00027073093224316835) (item7gr06,0.00025499187177047133) (itemVda4U,0.0002485517761670053) (itemDYrOS,0.00021760314120911062) (itemva2ph,0.00021064946486148983) (itema506d,0.00019780783622991294) (itemUFxkv,0.00019584971596486866)* (itemRMr3n,0.0001935113687068224) (itemw0Hbk,0.0001894747547339648) (itemVARpF,0.0001568349834997207) (itemxbm5F,0.00014636138803325593) (itemZIbqG,0.00012959308514837176) (itemd9ChJ,0.0001284048630623147) (itemjIyZN,0.00012247002450749278) (itemFjQ4M,0.00011910828470718116) (item84cQ6,0.00011613231617957354)
userfz4zC: (itemY6045,0.00034353951923549175) (itemvjUdv,0.00032127200393006206)* (item1PK0V,0.00029868585988879204)* (itemYOYte,0.0002310119307367131) (item03CQ6,0.00022896086738910526) (item96Uu6,0.000224637144128792) (itemDAINx,0.00022064006770960987) (itemhOGIE,0.00021710067812819034) (item618n3,0.00019647339649964124)* (itemAzjPR,0.00017606135224923491) (itemaTHnd,0.00016817286086734384) (itemIBbVf,0.00016648026939947158) (itemJyBn3,0.00016210517787840217) (itemBmrIx,0.00016106385737657547) (itemRMr3n,0.00014895686763338745) (itemwAkpa,0.00011972930224146694) (itemKe2Er,0.0001008937688311562) (item4p3W3,9.66614461503923e-05)* (item6hTeJ,8.955801604315639e-05) (itemHrihE,6.876068073324859e-05)
userNL6ye: (itemDAINx,0.0004622126289177686) (itemvjUdv,0.0003698299697134644)* (itemgRlgs,0.00030410580802708864) (itemJyBn3,0.0002986924664583057) (itemTuHK9,0.0002887742011807859)* (itemcVs96,0.0002603441826067865) (itemFzVAJ,0.0002524080337025225)* (itemuaFxY,0.00023561311536468565)* (item0QA86,0.00021755642956122756) (itemFsCNW,0.0002153535169782117) (item0VuxA,0.00021428462059702724) (item178I3,0.00019250987679697573) (itemkHjKP,0.00019000894099008292) (itemsB45O,0.00018245445971842855) (itemEzeNr,0.0001758841099217534) (itemRMr3n,0.0001729940267978236) (itemd9ChJ,0.00016759450954850763) (itemQStwf,0.00016533321468159556)* (itemuNHoh,0.000163076794706285) (itemiCowm,0.00014063884736970067)
userXIciZ: (itemXLYXV,0.0004634438082575798)* (itemyWo9i,0.00040927150985226035)* (itemySRfm,0.000376986397895962) (itemRKTJC,0.0003762542037293315) (iteme1aEV,0.00032698101131245494) (itemHrihE,0.00028010018286295235) (itemIrWce,0.00027324576512910426) (itemqD4yX,0.00024633557768538594)* (itemlHCkK,0.00023991643683984876) (itemVZJC8,0.00023289273667614907) (item6TcLl,0.00021919069695286453)* (itemRMr3n,0.00021649457630701363) (item7gr06,0.00019273327779956162) (itemgoCpP,0.00016778575081843883) (itemd7GN3,0.00016196700744330883) (itemLPkI9,0.00014898943481966853) (item4YMYG,0.0001456649333704263) (itemZCI04,0.00014005809498485178) (itemqppyW,0.00011399103095754981) (itemWeaex,0.00011011479364242405)
userTHymG: (itemJyBn3,0.0005695662111975253) (itemGAqYy,0.0005261559854261577)* (itemFEgKI,0.00047591549810022116)* (itemySRfm,0.000453618704341352) (itemSW5s8,0.0004382904153317213) (itemxCvQp,0.0003807251341640949) (itemPn5yf,0.0003737261868081987) (item4FB6e,0.00033380516106262803) (item4p3W3,0.00026928307488560677) (item7gr06,0.0002487244491931051) (itemaTHnd,0.00022404971241485327) (itemlepVl,0.00022331572836264968) (itemKckEp,0.00019565998809412122) (itemFoRzs,0.00018475577235221863) (itemEQ5kD,0.00017157892580144107)* (item52xJ8,0.00017113835201598704) (itemKHT0l,0.00016673232312314212)* (itemQStwf,0.00016526138642802835) (itemwAkpa,0.00015899822756182402) (itemLDh7R,0.00013917457545176148)
userKWMYJ: (itemVHyMp,0.00035886175464838743)* (itemup8oB,0.0003423403832130134) (itemSW5s8,0.0003160338965244591) (itemVda4U,0.00029371879645623267) (iteme5OvS,0.0002926290617324412) (itemYgdNj,0.0002887000155169517) (itemkHjKP,0.00023524794960394502)* (itemsB45O,0.00020127801690250635) (itemYOYte,0.00018762372201308608) (itemVARpF,0.00017383182421326637) (itemvjUdv,0.00017147927428595722) (itemxCvQp,0.00016365948249585927) (itemlN5jA,0.00015343855193350464)* (itemqF1uc,0.0001216678720084019)* (itemgoCpP,0.0001187567031593062) (itemUiRdE,0.0001186759109259583) (itemPzRe5,0.00011176004773005843)* (iteme1aEV,0.00010793500405270606) (itemEZob3,0.00010626050789142027)* (itemexwfY,0.00010481452045496553)
userpKjBY: (itemABTMM,0.0007748625357635319)* (itemVHyMp,0.0003995249280706048) (itemqth87,0.0003094781131949276)* (itemFsCNW,0.00027744966791942716) (itemMNxUT,0.00025806069606915116) (itemV1Vwk,0.0002555740356910974) (itemiXwHJ,0.00024569439119659364) (itemIrWce,0.00023289189266506582) (item0VuxA,0.00020403429516591132) (itemxwCH9,0.00018962789908982813) (iteme5OvS,0.00018490446382202208) (itemLPkI9,0.00018329659360460937) (itemSnsYW,0.00016598521324340254) (itemrDLmp,0.0001544248516438529)* (item84cQ6,0.00014416313206311315) (itemSeyqb,0.00013248664618004113) (itemyWo9i,0.00012427305046003312) (item4p3W3,9.090045932680368e-05) (itemEQ5kD,8.359524508705363e-05) (itemqppyW,6.22311927145347e-05)*
userRqCeX: (itemABTMM,0.0003729162854142487) (itemSEVUh,0.00035626115277409554) (itemxCvQp,0.0002521068381611258) (itemFsCNW,0.0002156764967367053) (itemLDh7R,0.000178549496922642)* (itemf6vR5,0.0001566066493978724) (itemd7GN3,0.00015397623064927757) (item618n3,0.0001517373020760715) (itemEzeNr,0.0001289976353291422) (itemnvCLA,0.00012826468446291983) (itemdjMTE,0.00011509129399200901)* (itemRKTJC,0.00010643875430105254) (itemBkBCG,9.475555998506024e-05) (itemTuHK9,8.15429084468633e-05) (itemlHCkK,7.338597060879692e-05) (itemehZbz,7.079687202349305e-05) (item64Mnl,6.807789031881839e-05) (item0VuxA,6.425355968531221e-05) (item31doJ,6.040354128344916e-05) (itemVZJC8,6.013868915033527e-05)
useraUavY: (item52xJ8,0.0005154192913323641) (itemBkBCG,0.000486481876578182) (item2FMEC,0.0003974952269345522)* (itemYgdNj,0.00035497150383889675) (items32yz,0.0003359004040248692) (itemJyBn3,0.00030130468076094985)* (item9lgJn,0.00029374114819802344) (item23scr,0.00026906668790616095) (itemiXwHJ,0.000266130140516907) (itemwrPNe,0.00021368252055253834)* (itemVZJC8,0.00020854375907219946) (itemdjMTE,0.00018623043433763087) (itemqth87,0.00017710006795823574)* (itemvQ7sQ,0.0001680654240772128) (itemwinns,0.00015970005188137293) (itemy6Af3,0.00015934482507873327) (itemFEgKI,0.00015697792696300894) (itemkHjKP,0.00012412582873366773) (itemEB2ZL,0.00011361825454514474) (itemAlGQe,0.00011284314678050578)
uservzAWa: (itemDF5f3,0.0004131176392547786) (itemQkv6a,0.00040364134474657476) (item0MxmA,0.00032355907023884356) (itemVHyMp,0.0003123375936411321) (itemFjQ4M,0.00025889609241858125) (item80q9y,0.00025500505580566823) (itempGfZ6,0.00023860138026066124) (iteme5OvS,0.00021811187616549432) (item23scr,0.0002079242840409279) (itemABTMM,0.00020478261285461485) (item9lgJn,0.00019184531993232667) (itemN8AZu,0.00017852730525191873) (itemUiRdE,0.0001744315231917426) (itemBuZOt,0.00016995154146570712) (itemvHkzH,0.00016369440709240735) (itemd7GN3,0.00015249103307724) (itemexwfY,0.00015213078586384654)* (itemvn3OC,0.0001276037364732474)* (item618n3,0.00010543742246227339) (item52xJ8,0.00010408356320112944)
useruR6i7: (itemWeaex,0.00034259355743415654)* (itemFjQ4M,0.00030078092822805047) (item7gr06,0.0002902165288105607) (itemEzeNr,0.00027558489819057286) (itemllAnb,0.00021894063684158027) (itemSnsYW,0.00020743859931826591)* (itemsaQmG,0.00020378243061713874) (itemx52zm,0.00019864816567860544) (itemg6NgV,0.00017274339916184545) (itemSeyqb,0.0001576282811583951) (item6TcLl,0.00014431415183935314) (itemJyBn3,0.00014042164548300207) (item0VuxA,0.00013525993563234806) (itemEQ5kD,0.0001227940374519676) (itemH8gzP,0.00012240711657796055) (itemFEgKI,0.00012195343879284337) (item7XnWI,0.00011952711793128401) (itemIrWce,0.0001172966804006137) (itemjmSae,0.00010952891898341477) (itempLAQY,0.00010835060675162822)
userAzNXt: (itemg6NgV,0.00044006426469422877) (itemBmrIx,0.00030244988738559186)* (itemvpxYm,0.00029646902112290263)* (item9lgJn,0.00029555626679211855) (item6hTeJ,0.000261679437244311) (itemAj7Pj,0.00025242913397960365) (itemXLYXV,0.0002172042295569554) (itemqD4yX,0.00018955933046527207) (itemGgwft,0.00016894159489311278)* (itemqppyW,0.0001681261055637151) (itemgEevH,0.0001670309284236282) (itemAzjPR,0.00016478943871334195) (itemakzor,0.00015738043293822557)* (item96Uu6,0.00013655066140927374) (itemcAUzH,0.00013347560889087617) (item7gr06,0.00012257785419933498)* (itemEB2ZL,0.0001218301331391558) (itemKHT0l,0.0001192152121802792) (itemlAKEf,0.00011874383199028671) (itemQJNS2,0.00010917662439169362)
usermobRV: (itemUFxkv,0.00038023144588805735)* (itemuz9u2,0.0003568930842448026) (itemFjQ4M,0.0003398424887564033) (iteme1aEV,0.00032734934939071536) (itemdC6Wf,0.0002886891597881913) (itemBmrIx,0.00027048520860262215) (itemSrPKx,0.00025924420333467424) (item2FMEC,0.000253734877333045) (items32yz,0.00021760417439509183) (itemxCvQp,0.00021635458688251674) (itema506d,0.00021081772865727544) (itemUiRdE,0.0002093710791086778) (itemKHT0l,0.00020458763174246997) (itemO64Fe,0.00020087115990463644) (item7XnWI,0.00018395099323242903) (itemYOYte,0.00017793265578802675) (itemZCI04,0.00016923069779295474) (itembHmsT,0.0001521396916359663) (itemmt9Zs,0.0001417066960129887) (itemvHkzH,0.00013325527834240347)
userk6Mri: (item0MxmA,0.0004033564473502338) (itemvjUdv,0.0003653823514468968) (itemkHjKP,0.00034092148416675627) (itemaTHnd,0.00029413835727609694)* (item1PK0V,0.0002648935478646308) (itemlHCkK,0.0002410491433693096) (itemSEVUh,0.00019894613069482148) (item23scr,0.0001646626478759572) (itemPn5yf,0.00015156343579292297) (itemN8AZu,0.00013245843001641333) (itemSnsYW,9.363108256366104e-05) (itemwAkpa,8.981984865386039e-05)* (itemfL8PL,8.118325786199421e-05) (itemFzVAJ,7.844934589229524e-05) (item178I3,7.406062650261447e-05)* (itemySRfm,6.937466969247907e-05) (itemg6NgV,6.363799911923707e-05) (item6hTeJ,5.268458335194737e-05) (itemTAGOA,4.803513002116233e-05) (item9DjWX,4.5080923882778734e-05)
userxrwAf: (itemguPDr,0.00037297935341484845) (itemFEgKI,0.00034021466854028404) (item0MxmA,0.00031240767566487193) (itemup8oB,0.0003095923748333007) (itemlepVl,0.000304096145555377) (itemDF5f3,0.0002763331576716155) (itemr1zoc,0.0002552749356254935) (itemoSaYE,0.000254636921454221) (itemh9nHh,0.0002452282060403377) (itemva2ph,0.00024332151224371046) (item52xJ8,0.000228491859161295) (item4FB6e,0.0002278924803249538) (itemXxPjl,0.00020749647228512913) (itemcAUzH,0.00016745913308113813) (itemg6NgV,0.00016234576469287276) (itemRNQTR,0.00014764089428354055)* (itemJaOdU,0.00014743806968908757) (itemIBbVf,0.0001388266682624817) (itemFoRzs,0.00013719455455429852) (itemrT9kO,0.00013639872486237437)
